oficio4_08,nombre,n,n_h,n_m,gap_ajustado_pct,p_valor,p_fdr,significativo,sig_fdr,brecha_cruda_pct
3412,Técnico en trabajo social,169,30,139,-18.876800341082422,0.06571546528537331,0.13436465669955794,False,False,-26.391753594667065
2310,Profesores de la educación superior,968,518,450,-18.761613099096973,0.0017817760057852183,0.008327075618873775,True,True,-17.89904372601695
4311,Auxiliares y ayudantes de registros de contabilidad y cálculo de costos,244,89,155,-18.57831868139027,0.008076090602452624,0.027197422764141922,True,True,-25.731567974097224
2141,Ingenieros industriales y de producción,474,369,105,-18.5770604635347,0.006100271350173436,0.022531647406285753,True,True,-22.66215166478616
3431,Fotógrafos,104,69,35,-18.317489349737958,0.5168935268204087,0.6503770200102945,False,False,-10.27090553652168
5222,"Supervisores de locales comerciales, tiendas y almacenes",703,293,410,-18.19320163930027,0.00010076946916837137,0.0007749675145205452,True,True,-20.989755962889788
6112,Agricultores y trabajadores calificados de plantaciones de árboles y arbustos,847,690,157,-18.101133039444083,0.0019208690855729849,0.00879758041192427,True,True,-21.306860472640132
3343,Secretarios administrativos y ejecutivos,2271,430,1841,-18.06907786570886,8.656173533516665e-08,1.4159026708395115e-06,True,True,-23.5269606071165
2212,Médicos especialistas,388,213,175,-18.04786519921523,0.008729623754266669,0.028373567116735658,True,True,-20.384383199918034
9211,Obreros de explotaciones agrícolas,6203,4017,2186,-18.037696572973815,0.0,0.0,True,True,-9.628102606719436
4224,Recepcionistas de hoteles,200,82,118,-17.917636047873497,0.03172015053349253,0.08071016080188656,True,False,-10.234493493416675
6130,Productores y trabajadores calificados de explotaciones agropecuarias mixtas,243,203,40,-17.860576160974684,0.2144401591682168,0.3230710292731687,False,False,-53.455663383421694
3423,Instructores de acondicionamiento físico y actividades recreativas,201,118,83,-17.575183290262974,0.05211268348160614,0.11365528111702672,False,False,-24.6110568848078
3122,Supervisores de industrias manufactureras,278,220,58,-17.42308066129523,0.10280305173553272,0.19296638399538518,False,False,-18.139600089045636
1212,"Directores, gerentes y administradores de recursos humanos",241,96,145,-17.409870653210035,0.024121515492005363,0.06655213310444853,True,False,-10.216144853219012
1342,"Directores, gerentes y administradores de servicios de salud",140,46,94,-17.3860982651583,0.2761882379860563,0.39041423764695615,False,False,-39.10234015180652
5246,Vendedores de comida al mostrador,267,94,173,-17.328504983114723,0.03746641992421673,0.08845165116129518,True,False,-20.501915660778902
8131,Operadores de plantas y máquinas para fabricar productos químicos,110,88,22,-17.16957100831682,0.14320406864924262,0.24843736152027696,False,False,-17.984787645759425
4110,Trabajadores de tareas administrativas generales,1150,451,699,-17.144334360651758,4.7603402708595866e-07,6.412458364863795e-06,True,True,-15.391686179406028
9623,Recolectores de dinero en máquinas expendedoras de venta automática y lectores de medidores,108,79,29,-17.108795419656918,0.017087676550441966,0.05081919389676896,True,False,-17.35929829096201
9112,"Auxiliares de aseo de oficinas, hoteles y otros establecimientos",5980,1356,4624,-16.949549883406146,0.0,0.0,True,True,-17.512378964692076
2412,Asesores financieros y en inversiones,112,62,50,-16.934371093891365,0.23478448104933913,0.34912757246947185,False,False,-26.87352506559636
2244,Kinesiólogos,458,216,242,-16.875054337863826,0.039477011684383445,0.09224730281350825,True,False,-15.246514108995468
3111,Técnicos en ciencias físicas y químicas,119,71,48,-16.72501970109046,0.05111793867269121,0.11255776880813738,False,False,-19.209470710460398
5322,Trabajadores de los cuidados personales a domicilio,1042,35,1007,-16.72460743664307,0.09945777315505033,0.18823000043393823,False,False,-14.528635341085295
